Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,"Return on equity %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Gross margin %, Annual","Operating margin %, Annual",Price to book ratio,Price to sales ratio,"Price to earning to growth, Trailing 12 months",Price to cash flow ratio,Enterprise value,Enterprise value - Currency,"Enterprise value to revenue ratio, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share reported, Annual","Earnings per share reported, Annual - Currency","Price to earning to growth, Trailing 12 months","Earnings per share diluted growth %, Annual YoY","Earnings per share diluted growth %, Quarterly YoY","Earnings per share diluted growth %, Quarterly QoQ","Earnings per share diluted growth %, TTM YoY","Earnings per share estimate, Annual","Earnings per share estimate, Annual - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency","Earnings per share estimate, Semi-annual","Earnings per share estimate, Semi-annual - Currency","Total revenue, Annual","Total revenue, Annual - Currency","Net income, Annual","Net income, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue growth %, Annual YoY","Revenue growth %, Quarterly YoY","Revenue growth %, Quarterly QoQ","Net income growth %, Annual YoY","Free cash flow, Annual","Free cash flow, Annual - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Debt to equity ratio, Quarterly","Debt to EBITDA ratio, Annual","Interest coverage, Trailing 12 months","Current ratio, Quarterly","Quick ratio, Quarterly","Dividend yield %, Trailing 12 months",Price to earnings ratio,"Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","Cash & equivalents, Annual","Cash & equivalents, Annual - Currency",Total common shares outstanding,Free float %
HINDUNILVR,Hindustan Unilever Limited,2305.9,INR,-0.43179757329763807,126436,0.125896896897794,5380799285263,INR,46.3442,INR,6.047888845157572,1.8776472643116,Consumer non-durables,Buy,21.8891971213766,13.3772320468799,21.3323668563704,43.6443440784975,21.49138849573,11.121443666504469,8.376062618857137,8.1709813644781,,5320549285263,INR,8.28191287029404,36.04463982970666,46.3442,INR,46.3442,INR,44.598097,INR,8.1709813644781,3.6122955223539326,3.6282351234198464,-2.5763659769644507,6.047888845157572,45.125122,INR,11.115024,INR,22.267769,INR,628810000000,INR,106490000000,INR,147610000000,INR,1.8728230052652894,1.9778977772196407,-1.6531427879375074,3.6197333852291527,114640000000,INR,,,17750000000,INR,0.0364356679530339,0.11083462236868653,29.808035714285715,1.09056869980465,0.847026264380291,1.8776472643116,49.755956516673066,108890000000,INR,63230000000,INR,2349590000,37.7344
LICI,Life Insurance Corp. of India,854.2,INR,-0.08188092174522539,76658,0.07198990124185349,5367709332519,INR,80.795,INR,23.069306930693063,1.41401048724445,Finance,Buy,5.78062847039651,0.878782360896885,5.78062847039651,,5.34257645886393,0.6349959689055364,0.5907142800039147,0.4556344183751226,,5370550932519,INR,0.5906094366823805,,80.795,INR,80.795,INR,76.13,INR,0.4556344183751226,18.09686639634807,30.662149222950568,-7.835644273064181,23.069306930693063,81.44586,INR,17.26,INR,41.900000000000006,INR,8886719800000,INR,483203300000,INR,,,4.034053162339834,4.39710952874479,7.4191895186142744,18.09684999822807,-99215000000,INR,,,0,INR,0,,,1.58990338536137,,1.41401048724445,10.572436413144379,511028500000,INR,625893100000,INR,6324997600,3.5000000000000004
MARUTI,Maruti Suzuki India Limited,16759,INR,0.3713241899742469,34999,0.10256736377346148,5220308745180,INR,470.0788,INR,4.432041577423714,0.813061991459838,Consumer durables,Buy,15.6503580773633,11.3622359451008,15.6362839994541,20.220857000557,9.59385637161255,5.282606775268643,3.2582555161977096,7.9902706131138475,,5168265745180,INR,3.217421081478493,26.329611368733158,470.0788,INR,470.0788,INR,443.9,INR,7.9902706131138475,7.502846666923081,7.945240739689822,-11.691775325312715,4.432041577423714,507.602119,INR,126.673296,INR,265.031956,INR,1527957000000,INR,145002000000,INR,196291000000,INR,7.768356401676946,13.071040235839485,9.685223752240631,7.502854346762355,61812000000,INR,,,999000000,INR,0.0010015660121230601,0.00574820399463172,68.11167256189995,0.915779347267534,0.591620956273378,0.813061991459838,35.65146949830539,147794000000,INR,1879000000,INR,314403000,41.706199999999995
ITC,ITC Limited,372.45,INR,-7.580645161290326,97661510,12.092344411289815,5019101436822,INR,27.9761,INR,70.34396254102401,3.58212680978532,Consumer non-durables,Strong buy,27.5750485296707,21.8272382138157,27.5059632928092,42.6183870374757,32.4683501191132,6.564778206734199,6.3886274621030585,0.2035621102524963,,4842359136822,INR,6.164559032887813,18.347516569405265,27.9761,INR,27.9902,INR,15.8,INR,0.2035621102524963,69.405171782287,2.5075778451363977,-2.105263157894739,70.34396254102401,16.684535,INR,4.1675,INR,8.5175,INR,750168700000,INR,347466300000,INR,263924500000,INR,10.831080151706924,-2.4448284072923148,-9.272758654539077,69.83725324774987,164082800000,INR,,,3629700000,INR,0.0051070630187685295,0.010947850540717008,431.5751965065502,3.04298745048871,1.82112923718177,3.58212680978532,13.313149438270523,350324800000,INR,8848400000,INR,12529000000,68.9919
M&M,Mahindra & Mahindra Ltd.,3762.7,INR,1.442359538444948,796270,0.5395949761225479,4555668237488,INR,126.38,INR,19.226415094339618,0.690596424184523,Consumer durables,Strong buy,18.5624680623959,5.19231458537274,9.09545692714267,25.9000495431652,14.6806953501255,5.072564212688073,2.329101700919044,1.5063989920269434,,5621127637488,INR,3.2035562356897582,16.887413702162178,126.38,INR,127.5025,INR,98.7,INR,1.5063989920269434,14.663923209685791,14.83574708583539,-10.760362338731818,19.226415094339618,121.128893,INR,31.541442,INR,63.647676000000004,INR,1571760700000,INR,129291000000,INR,332859000000,INR,14.488087492705008,21.747330258345663,0.782377195816574,14.735229805903819,-53940100000,INR,,,1297657300000,INR,1.56637958620483,4.506193613460405,2.7834579370655033,1.34824516514457,1.10186225716001,0.690596424184523,29.772907105554676,142323900000,INR,49872900000,INR,1243530000,76.318
HCLTECH,HCL Technologies Limited,1635.3,INR,0.7392348918868971,181062,0.10189969985900448,4382976154093,INR,62.59,INR,0.9190583682683009,3.34334272358604,Technology services,Buy,24.2299677428563,16.2967514015821,23.0183050847458,23.4095083507753,18.5400025628978,6.2153531499199195,3.5793124417402384,28.078781712228817,,4151786154093,INR,3.391234085694332,16.01645765794692,62.59,INR,62.6886,INR,64.09,INR,28.078781712228817,10.777346072480384,0,10.16231474947071,0.9190583682683009,64.14261,INR,17.299926,INR,34.410311,INR,1170550000000,INR,173900000000,INR,259220000000,INR,6.497866494409214,10.67147113852124,5.248937362021812,10.750222901541205,224240000000,INR,,,67800000000,INR,0.0951592303049868,0.2433878848987823,29.097855227882036,2.29278779472954,2.2872399445215,3.34334272358604,26.127176865313945,169760000000,INR,82450000000,INR,2713670000,38.835499999999996
KOTAKBANK,Kotak Mahindra Bank Limited,2193.2,INR,-0.35891145336423114,293069,0.14465630424413972,4285811174942,INR,93.4172,INR,-15.797576426220179,0.116028125217553,Finance,Buy,11.7799339738247,2.16239202347769,7.81867581289712,,27.0754344361163,2.595512972038211,4.167172687603901,,,4473602074942,INR,4.354908181474282,,93.4172,INR,93.4172,INR,82.737608,INR,,21.700105307935498,-11.434314768830554,-0.0987008829727708,-15.797576426220179,71.609861,INR,18.86,INR,39.099999999999994,INR,1070492260000,INR,221259890000,INR,,,19.443940552755006,-7.360969225469326,-6.750057669435798,21.48320936880558,263462228000,INR,,,827000300000,INR,0.49215831995421,,,,,0.116028125217553,23.477475240105676,185742300000,INR,,,1989100000,69.6539
SUNPHARMA,Sun Pharmaceutical Industries Limited,1711.8,INR,-0.4593824504274054,108858,0.051025712537996946,4125796002264,INR,43.5531,INR,-5.466491287474271,0.930448941614329,Health technology,Buy,14.2237955901747,10.8953418103518,14.1534668330436,54.4190856133304,23.8627497712988,5.277815898077661,7.509161022629176,,,3902211402264,INR,7.099575526356246,24.71878616091552,43.5531,INR,43.5531,INR,47.7,INR,,14.125113372719401,2.5594279761341108,36.83517779485938,-5.466491287474271,47.886537,INR,12.7675,INR,22.7825,INR,521532100000,INR,109290400000,INR,157864200000,INR,8.964385986391886,8.92999152082664,4.525968494159435,14.124961624329863,125894600000,INR,,,52151000000,INR,0.0670151473174152,0.15726356771842365,47.44477134866151,2.56825805051919,2.12230101224586,0.930448941614329,39.303746461216306,104498400000,INR,102887700000,INR,2399280000,41.345200000000006
AXISBANK,Axis Bank Limited,1274.5,INR,0.4017646132030809,674377,0.19058050302873414,3868818744629,INR,83.42,INR,-7.177033492822969,0.0802568218298555,Finance,Buy,13.9738723597112,1.58356908702561,6.20244216749674,,23.9106653284942,1.9829133083681771,2.443278586328863,,,5412147944629,INR,3.4019824898417896,,83.42,INR,83.9,INR,85.1,INR,,6.085726956924789,-25.48359966358285,-11.576846307385232,-7.177033492822969,80.116288,INR,20.17,INR,43.77,INR,1552266300000,INR,280551100000,INR,,,12.840836082751064,1.443942763667882,-1.5622138065889457,6.324935003903557,453243600000,INR,,,2408414900000,INR,1.20696252300313,,,,,0.0802568218298555,15.278110764804604,259889900000,INR,,,3104990000,98.7403
TITAN,Titan Company Limited,4062.4,INR,0.26903615944712056,84246,0.10340817617613166,3528106767009,INR,46.5416,INR,27.410003011306078,0.276795712182786,Consumer durables,Buy,36.6387151160211,9.08910803909483,27.77478810709,16.0057642615782,8.29026701119724,28.14600198111161,5.1940018611154075,3.115217676424717,,3778996767009,INR,5.565204946702698,54.64136447381434,46.5416,INR,46.5478,INR,37.583227,INR,3.115217676424717,-4.514443426000466,59.14249684741487,2.6074654655142866,27.410003011306078,53.122646,INR,14.545879,INR,29.675766,INR,603720000000,INR,33370000000,INR,69160000000,INR,18.364866189589257,28.835833218659694,13.326877685650306,-4.548054919908466,-37530000000,INR,,,285530000000,INR,2.23018042646255,3.6463671463671465,5.999030067895247,1.25589300640847,0.206659236556144,0.276795712182786,87.28535331832167,41290000000,INR,15840000000,INR,887786000,41.2441
